Timestamp,Operator,Coil Batchname,Coil Width,Coil Thickness,Coil Length,Frameset,Component Label,Web Width,Flange Height,Profile Shape,Component Length,Waste,Time,Component Weight
2024-07-16T08:52:21,,,171,1.00,22984.041,,initial waste,89.00,41.00,C,0.00,1536.00,7.476,2.064
2024-07-16T08:52:27,,,189,1.00,22978.584,6-1-793,E2,89.00,50.00,C,3921.68,6.00,6.644,5.826
2024-07-16T08:52:35,,,189,1.00,22974.589,6-1-793,S4,89.00,50.00,C,3922.19,6.00,7.695,5.827
2024-07-16T08:52:46,,,189,1.00,22972.862,6-1-793,C7,89.00,50.00,C,1655.24,6.00,10.679,2.459
2024-07-16T08:52:48,,,189,1.00,22972.595,6-1-793,C6,89.00,50.00,C,195.25,6.00,2.917,0.290
2024-07-16T08:52:55,,,189,1.00,22971.853,6-1-793,C5,89.00,50.00,C,669.82,6.00,6.794,0.995
2024-07-16T08:52:57,,,189,1.00,22971.651,6-1-793,S13,89.00,50.00,C,196.39,6.00,2.181,0.292
2024-07-16T08:53:03,,,189,1.00,22970.909,6-1-793,S9,89.00,50.00,C,669.82,6.00,5.16,0.995
2024-07-16T08:53:10,,,189,1.00,22968.703,6-1-793,S8,89.00,50.00,C,2200.25,6.00,7.354,3.269
2024-07-16T08:53:17,,,189,1.00,22964.758,6-1-793,S14,89.00,50.00,C,3938.47,6.00,6.814,5.851
2024-07-16T08:53:24,,,189,1.00,22960.747,6-1-793,S15,89.00,50.00,C,3938.73,6.00,7.468,5.851
2024-07-16T08:53:32,,,189,1.00,22956.736,6-1-793,SO-L1-2,89.00,50.00,C,3939.41,6.00,7.658,5.852
2024-07-16T08:53:35,,,189,1.00,22956.362,6-1-793,C12,89.00,50.00,C,368.30,6.00,3.227,0.547
2024-07-16T08:53:39,,,189,1.00,22956.019,6-1-793,C2,89.00,50.00,C,270.66,6.00,3.528,0.402
2024-07-16T08:53:48,,,189,1.00,22952.648,6-1-793,C1,89.00,50.00,C,3298.80,72.00,9.002,4.900
2024-07-16T08:53:52,,,189,1.00,22952.208,6-1-793,C-R1-2,89.00,50.00,C,368.30,6.00,4.057,0.547
2024-07-16T08:54:00,,,189,1.00,22948.188,6-1-793,SO-R0-2,89.00,50.00,C,3941.65,6.00,7.941,5.855
2024-07-16T08:54:07,,,189,1.00,22944.180,6-1-793,E1,89.00,50.00,C,3942.49,6.00,7.758,5.857
2024-07-16T08:54:13,,,189,1.00,22940.164,6-1-794,E1,89.00,50.00,C,3943.83,6.00,6.102,5.859
2024-07-16T08:54:16,,,189,1.00,22939.849,6-1-794,S1,89.00,50.00,C,309.50,6.00,2.797,0.460
2024-07-16T08:54:25,,,189,1.00,22936.143,6-1-794,C1,89.00,50.00,C,3633.39,6.00,9.094,5.398
2024-07-16T08:54:33,,,189,1.00,22933.191,6-1-861,E2,89.00,50.00,C,2945.82,6.00,7.764,4.376
